                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7948,                  5.042,                 2.0887,                0.23943,                0.17568,                0.11605,                0.04233,                 2.4067,                  3.167,                 1.8697,               0.070323,              0.0032975,              0.0032975
                      1,                 2.1386,                 2.5802,                 1.6257,                0.46379,                 0.2973,                0.28747,                0.12806,                 2.2235,                 2.7095,                 1.6505,               0.040158,              0.0064667,              0.0064667
                      2,                  2.009,                 2.1385,                 1.5196,                0.50425,                0.26126,                 0.2602,                0.12192,                 2.1287,                 2.5211,                  1.625,              0.0098294,              0.0094709,              0.0094709
                      3,                  1.956,                 1.9682,                 1.4484,                0.68172,                0.37538,                0.43855,                0.19161,                 2.0728,                 2.2608,                  1.605,              0.0092575,              0.0092575,              0.0092575
                      4,                 1.9149,                 1.7956,                 1.4219,                0.72593,                0.35285,                0.40704,                0.19461,                 2.0312,                 2.1302,                 1.5463,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.8781,                 1.7046,                 1.4025,                0.78736,                0.48949,                0.57556,                0.27994,                 1.8522,                 1.5972,                  1.483,                0.00901,                0.00901,                0.00901
                      6,                 1.8663,                 1.6134,                 1.3892,                 0.8137,                0.48799,                0.57146,                0.27758,                 1.8755,                 1.6723,                 1.4399,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.8132,                 1.5255,                 1.3446,                0.76847,                0.59803,                0.66535,                0.32825,                 1.7999,                 1.4306,                 1.4221,               0.008515,               0.008515,               0.008515
                      8,                 1.7989,                 1.4627,                 1.3348,                0.85318,                0.56006,                0.66126,                0.32657,                 1.8256,                 1.3069,                 1.4462,              0.0082675,              0.0082675,              0.0082675
                      9,                  1.758,                 1.3768,                 1.3196,                0.84665,                0.57958,                0.67669,                0.32729,                 1.8341,                 1.3041,                 1.4498,                0.00802,                0.00802,                0.00802
                     10,                 1.7261,                 1.3165,                 1.3032,                0.83826,                0.61261,                0.71034,                0.36226,                 1.7433,                 1.2173,                 1.3701,              0.0077725,              0.0077725,              0.0077725
